[AXUM] 2023-04-24 01:41:49 |200|    7ms |       127.0.0.1 | GET   /video/大话HTTP协议/icon.png
[AXUM] 2023-04-24 01:41:49 |200|   12ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/icon.png
[AXUM] 2023-04-24 01:41:49 |200|   12ms |       127.0.0.1 | GET   /video/mksz608-Vue3源码解析，打造自己的Vue3框架，领悟尤大思维精髓【17章完结】/icon.png
[AXUM] 2023-04-24 01:41:49 |200|   12ms |       127.0.0.1 | GET   /video/慕课网-算法与数据结构体系课（MP4）【更多it教程联系微信 itwangzi】/icon.png
[AXUM] 2023-04-24 01:41:49 |200|   41ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-24 01:41:52 |307|    0ms |       127.0.0.1 | GET   /video/coderwhy前端体系课 -> /coderwhy前端体系课/
[AXUM] 2023-04-24 01:41:52 |404|    0ms |       127.0.0.1 | GET   /coderwhy前端体系课/
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /assets/index-0a5cc204.js
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /assets/index-2eafa77e.css
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /assets/list-26609cde.js
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /assets/video-23fd7259.js
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /assets/list-fc8a65d0.css
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /icon/icon.png
[AXUM] 2023-04-24 01:41:54 |200|    1ms |       127.0.0.1 | GET   /video/mksz608-Vue3源码解析，打造自己的Vue3框架，领悟尤大思维精髓【17章完结】/icon.png
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/icon.png
[AXUM] 2023-04-24 01:41:54 |200|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/icon.png
